"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"FRESENIUS MED.CARE";"DE0005785802";"FMEd";"NYSE Arca Europe";"EUR";"48,755";"48,755";"48,755";"48,755";"09/08/2013 10:27";"CET";"72";"3510,36"
"FRESENIUS SE";"DE0005785604";"FREd";"NYSE Arca Europe";"EUR";"95,77";"95,77";"95,77";"95,77";"15/08/2013 10:40";"CET";"6";"574,62"
"FRESNILLO";"GB00B2QPKJ12";"FRESl";"NYSE Arca Europe";"GBX";"1266,00";"1339,00";"1266,00";"1332,00";"29/08/2013 16:44";"CET";"194";"257971,00"
"FREY";"FR0010588079";"FREY";"NYSE Euronext Paris";"EUR";"18,60";"18,60";"18,60";"18,60";"01/11/2013 11:30";"CET";"1";"18,60"
"FROMAGERIES BEL";"FR0000121857";"FBEL";"NYSE Euronext Paris";"EUR";"264,00";"264,00";"263,00";"263,00";"01/11/2013 16:30";"CET";"60";"15810,00"
"FRONTLINE";"BMG3682E1277";"FROo";"NYSE Arca Europe";"NOK";"-";"-";"-";"-";"-";"-";"-";"-"
"FUCHS PETROLUB SE";"DE0005790430";"FPE3d";"NYSE Arca Europe";"EUR";"63,15";"63,15";"63,15";"63,15";"06/06/2013 13:07";"CET";"15";"947,25"
"FUDAKIN";"HK0000058989";"MLKIN";"Marché Libre Paris";"EUR";"11,00";"11,00";"11,00";"11,00";"19/12/2011 14:00";"CET";"500";"5500,00"
"FUGRO";"NL0000352565";"FUR";"NYSE Euronext Amsterdam";"EUR";"46,20";"46,215";"45,22";"45,33";"01/11/2013 17:35";"CET";"394470";"17979953,46"
"FUT.CLUBE PORTO";"PTFCP0AM0008";"FCP";"NYSE Euronext Lisbon";"EUR";"0,37";"0,37";"0,37";"0,37";"01/11/2013 15:30";"GMT";"1000";"370,00"
"G.A.I.";"FR0000053415";"MLGAI";"Marché Libre Paris";"EUR";"98,00";"98,00";"98,00";"98,00";"28/01/2011 14:00";"CET";"1";"-"
"G.OPEN BSAAR1014";"FR0010518654";"OPBSR";"NYSE Euronext Paris";"EUR";"0,15";"0,15";"0,15";"0,15";"25/10/2013 13:21";"CET";"15443";"2316,45"
"G4S PLC";"GB00B01FLG62";"GFSl";"NYSE Arca Europe";"GBX";"259,20";"259,20";"259,20";"259,20";"30/08/2013 17:29";"CET";"917";"237686,40"
"GAGFAH";"LU0269583422";"GFJd";"NYSE Arca Europe";"EUR";"9,764";"9,851";"9,764";"9,851";"20/08/2013 11:51";"CET";"700";"6887,00"
"GALAPAGOS";"BE0003818359";"GLPG";"NYSE Euronext Brussels,Amsterdam";"EUR";"14,30";"14,32";"14,02";"14,08";"01/11/2013 17:35";"CET";"58488";"824973,12"
